hanzi,pinyin,components,tu_hinh,y_nghia,radical,ghi_chu,,A968
聊,,,Được tạo thành từ bộ nhĩ (耳 ☞ tai) biểu thị ý nghĩa và chữ Mão (卯 → Liêu) biểu thị âm đọc (myo → ryo) hợp lại.,,,,,
卯,,,"Chữ 卯 có nghĩa là 'thỏ' hay 'địa chi'. Địa chi ở đây là một trong mười hai địa chi (십이지). Mặc dù chữ 卩 (tiết - khớp/ấn hiệu) được chỉ định làm bộ thủ của chữ Mão, nhưng nó không liên quan gì đến chữ 卩. Có hai cách giải thích về chữ Mão. Một là hình ảnh cửa mở toang. Bởi vì chữ 貿 (mậu - trao đổi) dùng chữ Mão biểu hiện hình ảnh cửa mở toang. Cách khác là giải thích là hình ảnh cái hang đào dưới đất. Chữ 窌 (giếu - hầm) có nghĩa là hầm để rau củ mùa đông chính là như vậy. Khi chữ 卯 kết hợp với các chữ khác, cả hai cách giải thích này đều được áp dụng, nên sự giải thích về chữ Mão vẫn còn nhiều tranh cãi.",,,,,
资,,,"Chữ 資 có nghĩa là 'tài vật' hay 'tư bản', 'cơ sở'. Chữ 資 là hình ảnh kết hợp giữa chữ 次 (thứ - thứ hai) và chữ 貝 (bối - vỏ sò). Chữ 次 vẽ hình ảnh nói chuyện đến bắn nước bọt. Chữ 貝 có nghĩa là tài vật hiện nay nằm ở dưới, nhưng trong tiểu triện nó nằm phía trước chữ 次. Vì vậy, chữ Tư trong tiểu triện trông giống như đang chảy nước miếng trước tài vật. Chữ Tư là chữ biểu hiện tài vật mà ai cũng thèm muốn như vậy.",,,,,
料,,,"Chữ 料 có nghĩa là 'đo lường' hay 'đong đếm', 'số lượng'. Chữ 料 là hình ảnh kết hợp giữa chữ 斗 (đẩu - đấu) và chữ 米 (mễ - gạo). Chữ 斗 vẽ cái vá dùng để đong gạo hoặc chất lỏng. Chữ Liệu, kết hợp chữ Mễ vào chữ Đẩu vẽ cái vá như vậy, biểu hiện cảnh dùng vá đong gạo. Chữ Liệu trong kim văn cũng không khác biệt so với hiện nay. Bên cạnh cái vá vẽ gạo, có nghĩa là đo lường dung lượng. Vì vậy, nghĩa 'đo lường' trong chữ Liệu có nghĩa là dùng vá đong gạo để đo lường dung lượng.",,,,,
查,,,"Chữ 査 có nghĩa là 'điều tra' hay 'sự thật'. Chữ 査 là hình ảnh kết hợp giữa chữ 木 (mộc - gỗ) và chữ 且 (thả - lại/mồ). Chữ 且 vẽ bia mộ khắc văn bia, nhưng ở đây chỉ đóng vai trò phát âm 'thả → tra/sá'. Chữ Tra ban đầu là chữ được tạo ra để chỉ nghĩa 'bè gỗ', chữ 木 được dùng làm yếu tố ý nghĩa. Tuy nhiên, hiện nay trái với ý định ban đầu, nó được giả tá (mượn nghĩa) cho nghĩa là 'điều tra'.",,,,,
予,,,"Chữ 予 có nghĩa là 'tôi' hay 'cho'. Chữ 予 vẽ một phần của máy dệt vải. Trên đó có cuộn chỉ được đan xen trái phải để dệt vải. Khi dệt vải, cần phải đưa vật này sang trái sang phải của máy dệt, nên chữ 予 có nghĩa là 'cho'. Tuy nhiên, ngoài ra còn phái sinh các nghĩa liên quan đến việc cho đi thứ gì đó như 'ban tặng', 'chấp thuận', 'cho phép'. Tuy nhiên, chữ 予 không được dùng nhiều và khi kết hợp với các chữ khác cũng thường chỉ đóng vai trò phát âm.",,,,,
收,,,"Chữ 收 có nghĩa là 'thu gom' hay 'bắt'. Chữ 收 là hình ảnh kết hợp giữa chữ 丩 (cù - vướng víu) và chữ 攵 (phác - đánh). Chữ 丩 vẽ hình ảnh dây bị rối, có nghĩa là 'vướng víu'. Chữ Thu, kết hợp chữ 攵 vào chữ 丩 vẽ hình ảnh dây bị rối như vậy, có nghĩa là dùng gậy (攵) bắt tội nhân và trói lại bằng dây (丩). Tuy nhiên, theo thời gian, nghĩa 'bắt' đã biến mất và chỉ còn lại nghĩa 'đưa vào' hay 'thu gom'.",,,,,
园,,,"Chữ 園 có nghĩa là 'đồi' hay 'sân vườn'. Chữ 園 là hình ảnh kết hợp giữa chữ 囗 (vi - bao vây) và chữ 袁 (viên - vạt áo dài). Chữ 袁 vẽ hình ảnh thêm hình tròn vào phần cổ áo của chữ 衣 (y - áo), có nghĩa là áo rộng rãi. Áo rộng rãi có nghĩa là 'thư thái'. Đồi hoặc sân vườn là nơi để nghỉ ngơi tìm lại sự thư thái trong lòng. Vì vậy, có thể nói chữ Viên là chữ có nghĩa là 'đồi' hay 'sân vườn' bằng cách kết hợp chữ 囗 vào chữ 袁 có nghĩa là thư thái. Nguyên lý này cũng tương tự với chữ 遠 (viễn - xa) có nghĩa là 'xa'.",,,,,
微,,,"Chữ 微 có nghĩa là 'nhỏ' hay 'tinh xảo', 'cẩn thận'. Chữ 微 là hình ảnh kết hợp giữa chữ 彳 (xích - đi bước ngắn) và chữ 薇 (vi - rau vi?). Chữ 薇 vẽ hình ảnh người phụ nữ chải tóc, có nghĩa là 'mảnh'. Chữ Vi, kết hợp chữ 彳 vào chữ 薇 có nghĩa 'mảnh' như vậy, ban đầu có nghĩa là 'con đường hẹp' hay 'đường mòn'. Tuy nhiên, hiện nay chỉ được dùng với nghĩa là 'nhỏ' hay 'tinh xảo'.",,,,,
视,,,"[Giải thích tiếng Hàn chỉ có chữ '시' (âm đọc), không có giải nghĩa. Không thể dịch chi tiết nguồn gốc. Dịch nghĩa cơ bản dựa trên chữ Hán.] Chữ 视 (thị) có nghĩa là 'nhìn'.",,,,,
伊,,,Được tạo thành từ bộ nhân đứng (亻(=人) ☞ người) biểu thị ý nghĩa và chữ Doãn (尹) biểu thị âm đọc (yun).,,,,,
影,,,"Chữ 影 có nghĩa là 'bóng', 'hình dáng'. Chữ 影 là hình ảnh kết hợp giữa chữ 景 (cảnh - ánh nắng) và chữ 彡 (sam - lông). Chữ 景 biểu hiện cảnh mặt trời chiếu xuống trên tòa nhà cao. Khi mặt trời chiếu vào tòa nhà, sẽ tạo ra bóng. Do đó, trong tiểu triện, chữ 景 được dùng với nghĩa là 'bóng' hay 'hình dáng'. Nhưng từ khải thư trở đi, chữ Ảnh được thêm chữ 彡 vào để làm rõ nghĩa hơn, có nghĩa là 'bóng', còn chữ 景 được dùng với nghĩa là ánh nắng chiếu xuống. Tức là chữ 彡 được dùng trong chữ Ảnh biểu hiện bóng đổ bên cạnh tòa nhà.",,,,,
休,,,"Chữ 休 có nghĩa là 'nghỉ' hay 'dừng lại'. Chữ 休 là hình ảnh kết hợp giữa chữ 人 (nhân - người) và chữ 木 (mộc - gỗ). Chữ Mộc vẽ cây, nên chữ Hưu, được thêm chữ Nhân vào, biểu hiện hình ảnh người dựa vào cây. Chữ Hưu trong giáp cốt văn cũng vẽ người dựa lưng vào cây. Nghỉ ngơi dưới bóng cây có nghĩa là dừng công việc. Do đó, ngoài nghĩa 'nghỉ', chữ 休 còn được dùng với nghĩa là 'ngừng lại', 'dừng lại', 'nghỉ việc'.",,,,,
息,,,"Chữ 息 có nghĩa là 'thở' hay 'hô hấp', 'nghỉ ngơi'. Chữ 息 là hình ảnh kết hợp giữa chữ 自 (tự - tự mình/mũi) và chữ 心 (tâm - tim). Chữ 自 vẽ mũi người. Hô hấp là quá trình không khí đi vào cơ thể qua mũi. Do đó, có thể nói chữ Tức là chữ biểu hiện nghĩa 'thở' bằng cách vẽ mũi (自) và tim (心) cùng nhau.",,,,,
剧,,,"Chữ 劇 có nghĩa là 'nghiêm trọng' hay 'kịch'. Chữ 劇 là hình ảnh kết hợp giữa chữ 豦 (cự - vượn?) và chữ 刀 (đao - dao). Chữ 豦 ban đầu vẽ hình ảnh hổ (虎) và lợn lòi (豕) cùng nhau, được tạo ra với nghĩa là gầm gừ và đánh nhau. Chữ 豦 vẽ hình ảnh đánh nhau, nên chữ 勮 (cự - dùng sức) được thêm chữ 力 (lực - sức mạnh) có nghĩa là 'dùng sức', còn chữ Kịch được thêm chữ Đao, có nghĩa là 'nghiêm trọng' với ý nghĩa cực đoan hơn. Như vậy, chữ Kịch được tạo ra với nghĩa là 'nghiêm trọng', nhưng hiện nay được dùng với nhiều nghĩa khác nhau như 'tuyệt vời', 'bận rộn', 'đùa giỡn', 'kịch'.",,,,,
居,,,"Chữ 居 có nghĩa là 'sống' hay 'cư trú'. Chữ 居 là hình ảnh kết hợp giữa chữ 尸 (thi - xác chết) và chữ 古 (cổ - xưa). Chữ 古 vẽ hình ảnh tấm khiên và miệng cùng nhau, nhưng ở đây chỉ đóng vai trò hình dạng. Nhìn vào chữ Cư trong kim văn, chữ 尸 và chữ 古 được vẽ cùng nhau. Sự kết hợp các bộ phận gợi liên tưởng đến hình ảnh người ngồi trên ghế. Chữ Cư là chữ biểu hiện nghĩa 'ngồi' hay 'an vị' thông qua hình ảnh này. Tuy nhiên, sau này nghĩa được mở rộng, có nghĩa là 'cư trú' từ ý nghĩa định cư ở một nơi.",,,,,
宿,,,"Chữ 宿 có nghĩa là 'ngủ' hay 'ngủ trọ'. Chữ 宿 là hình ảnh kết hợp giữa chữ 宀 (miên - mái nhà), chữ 人 (nhân - người), chữ 百 (bách - một trăm). Chữ Túc cũng được xem là kết hợp chữ 宀 và chữ 佰 (bách - một trăm), nhưng không có mối liên quan lớn. Bởi vì chữ 百 được dùng trong chữ Túc chỉ là chữ tượng hình. Nhìn vào chữ Túc trong giáp cốt văn, hình ảnh người nằm trên giường được vẽ. Do đó, nghĩa gốc của chữ 宿 là 'ngủ'. Sau này nghĩa được mở rộng, có nghĩa là 'ngủ trọ' hay 'đã lâu'.",,,,,
舍,,人、,"Chữ 舍 có nghĩa là 'nhà' hay 'nhà cửa'. Chữ 舍 là hình ảnh kết hợp giữa chữ 舌 (thiệt - lưỡi) và chữ 人 (nhân - người). Mặc dù chữ 舌 được chỉ định làm bộ thủ của chữ Xá, nhưng nó không liên quan gì đến lưỡi. Nhìn vào chữ Xá trong kim văn, trên nền nhà có cột và mái nhà được dựng lên. Đây là vẽ nơi nghỉ ngơi tạm thời có thể dừng chân. Nghĩa 'nghỉ ngơi' hay 'nhà trọ' vẫn còn trong chữ Xá cũng là vì ban đầu nó vẽ nơi nghỉ ngơi tạm thời. Tuy nhiên, hiện nay chỉ có nghĩa là 'nhà' hay 'nhà cửa' nói chung.",,,,,
今,,人、,"Chữ 今 có nghĩa là 'bây giờ' hay 'hôm nay', 'ngay lập tức'. Mặc dù chữ 人 (nhân - người) được chỉ định làm bộ thủ của chữ Kim, nhưng nó không liên quan gì đến người. Nhìn vào chữ Kim trong giáp cốt văn, hình dáng giống như chữ A trong bảng chữ cái có một nét gạch dưới. Đây là vẽ chữ 口 (khẩu - miệng) lật ngược, biểu hiện có thứ gì đó ở trong miệng. Trong minh văn (銘文) thời Chiến Quốc, chữ 今 cũng được dùng với nghĩa là 'ngậm'. Tuy nhiên, hiện nay nó được dùng để biểu hiện khái niệm thời gian như 'bây giờ' hay 'ngay lập tức', 'hiện tại', không liên quan đến nghĩa gốc. Do đó, hiện nay chữ 含 (hàm - ngậm) được thêm chữ 口 (khẩu - miệng) vào để thay thế nghĩa 'ngậm'.",,,,,
乐,,,"Chữ 樂 có nghĩa là 'âm nhạc' hay 'vui vẻ'. Chữ 樂 ban đầu là chữ chỉ một loại nhạc cụ. Chữ Nhạc xuất hiện lần đầu trong giáp cốt văn, là hình ảnh kết hợp giữa chữ 木 (mộc - gỗ) và chữ 絲 (tơ - sợi tơ). Đây là biểu hiện nhạc cụ phát ra âm thanh bằng cách gảy dây như đàn tranh và dây đàn. Trong kim văn, chữ 白 (bạch - trắng) được thêm vào, điều này là để chỉ miếng gảy dùng khi gảy dây. Hơn nữa, vì nghe nhạc thấy vui nên nghĩa 'vui vẻ' cũng được phái sinh.",,,,,
阅,,,"Chữ 閱 có nghĩa là 'xem' hay 'kiểm duyệt'. Chữ 閱 là hình ảnh kết hợp giữa chữ 門 (môn - cửa) và chữ 兌 (đoài - vui vẻ). Chữ 兌 vẽ người đang cười tươi, nhưng ở đây chỉ đóng vai trò phát âm. Chữ Duyệt ban đầu là chữ có nghĩa là ngồi trong nhà tính toán hoặc đếm đồ vật. Tức là chữ 門 được dùng trong chữ Duyệt có nghĩa là 'mở ra để xem' chứ không phải là 'cửa'. Chữ Duyệt được dùng với nghĩa điều tra số lượng hoặc tính toán có chính xác hay không, sau đó các nghĩa 'phân biệt' hay 'kiểm duyệt' được phái sinh.",,,,,
综,,,"Được tạo thành từ bộ mịch (糸 ☞ cuộn chỉ) biểu thị ý nghĩa và chữ Tông (宗), đồng thời biểu thị âm đọc (jong) và có nghĩa là 'tập hợp (≒湊)'. Có nghĩa là gộp chỉ lại thành một.",,,,,
合,,,"Chữ 合 có nghĩa là 'hợp lại' hay 'tập hợp', 'phù hợp'. Chữ 合 là hình ảnh kết hợp giữa chữ 亼 (tập - gom lại) và chữ 口 (khẩu - miệng). Mặc dù chữ 口 được chỉ định làm bộ thủ của chữ Hợp, nhưng nó không liên quan gì đến miệng. Bởi vì, nhìn vào chữ Hợp trong giáp cốt văn, hình ảnh hộp đựng thức ăn có nắp được vẽ. Chữ Hợp biểu hiện nghĩa 'hợp lại' bằng cách vẽ hình ảnh nắp và hộp kết hợp cùng nhau như vậy.",,,,,
宗,,,"Chữ 宗 có nghĩa là 'gốc', 'đứng đầu', 'tế lễ', 'họ hàng'. 'Gốc' có nghĩa là tiêu chuẩn cho một việc nào đó. Điều này có thể được giải thích là nghĩa 'đứng đầu'. Chữ 宗 là hình ảnh kết hợp giữa chữ 宀 (miên - mái nhà) và chữ 示 (thị - biểu thị). Chữ 示 vẽ bàn thờ dâng lễ vật hoặc hương, chữ 宗, kết hợp chữ 宀 có nghĩa nhà vào đó, được tạo ra với nghĩa là 'ngôi nhà làm lễ tế'. Việc thờ cúng tổ tiên hoặc làm lễ tế do cháu đích tôn của dòng họ đảm nhận. Do đó, chữ Tông có nghĩa là 'tế lễ' hay 'họ hàng' từ ý nghĩa là thứ 'đứng đầu' của mọi thứ.",,,,,
挤,,,"Chữ “挤” nghĩa gốc là đẩy, là một chữ hội ý. Trong tiểu triện, bên trái chữ này là hình dáng bàn tay, cho thấy “挤” liên quan đến tay; bên phải là “齐”, có thể biểu thị âm đọc. Đồng thời, “齐” có nghĩa là đồng thời, cùng nhau, ở đây nói rằng, khi đẩy cần dùng cả hai tay cùng lúc. Sau này, “挤” được mở rộng nghĩa thành đẩy ra bằng áp lực, như “挤压” (tễ áp - chen ép). Ngoài ra, chữ này còn có nghĩa là “sát lại gần nhau”, như “庙会上人山人海，快挤死了” (Miếu hội thượng nhân sơn nhân hải, khoái tễ tử liễu - Hội chùa người đông như núi như biển, suýt chết vì chen chúc).",,,,,
力,,,"Chữ 力 có nghĩa là 'sức mạnh' hay 'dùng sức', 'người làm công'. Nhìn vào chữ Lực trong giáp cốt văn, hình ảnh dụng cụ cày ruộng được vẽ. Công việc nông nghiệp đòi hỏi sức lao động cao. Do đó, chữ 力 ban đầu vẽ dụng cụ cày ruộng, sau này có nghĩa là 'sức mạnh' hay 'dùng sức'. Vì vậy, khi chữ 力 được dùng làm bộ thủ, nó chủ yếu truyền đạt ý nghĩa liên quan đến 'sức mạnh' hay 'dùng sức'. Khi chữ 力 có nghĩa liên quan đến 'sức mạnh', sau này chữ 耒 (lỗi - cày) đã thay thế nghĩa 'cày'.",,,,,
想,,心,"Chữ 想 có nghĩa là 'suy nghĩ' hay 'nhớ nhung', 'tưởng tượng'. Chữ 想 là hình ảnh kết hợp giữa chữ 相 (tương - cùng nhau) và chữ 心 (tâm - tim). Chữ 相 vẽ hình ảnh mắt nhìn vào cây, nghĩa gốc là 'nhìn kỹ'. Chữ Tưởng, kết hợp chữ Tâm vào chữ 相 có nghĩa nhìn kỹ như vậy, được tạo ra với nghĩa là nhìn sâu vào nội tâm của mình.",,,,,
口,,,"Chữ 口 có nghĩa là 'miệng' hay 'lối vào', 'lỗ'. Chữ Khẩu là chữ vẽ mô phỏng hình dáng miệng người, nên có nghĩa là 'miệng'. Nhìn vào chữ Khẩu trong giáp cốt văn, nó có hình dạng chữ ㅂ nên có phân biệt trên dưới. Tuy nhiên, từ khải thư trở đi, nó đổi thành hình dáng vuông vắn và không còn phân biệt trên dưới nữa. Chữ Khẩu vẽ miệng, nên khi kết hợp với các chữ khác, nó chủ yếu truyền đạt ý nghĩa liên quan đến 'miệng' hay 'âm thanh'. Tuy nhiên, đôi khi nó cũng được ứng dụng làm chữ tượng hình đơn thuần như 'lối ra vào' hay 'lỗ'.",亻旁字多与口有关,吗、吃、喝、叫、啤、听、吧、问、古、扣,,,
录,,,"Chữ 錄 có nghĩa là 'ghi chép'. Chữ 錄 là hình ảnh kết hợp giữa chữ 金 (kim - kim loại) và chữ 彔 (lục - khắc). Nhìn vào chữ Lục trong giáp cốt văn, hình ảnh nước chảy ra dưới tấm vải được vẽ. Đây là biểu hiện của việc vắt vải tẩm thuốc nhuộm. Thuốc nhuộm chủ yếu dùng để nhuộm màu vải, và vải đã nhuộm một lần sẽ giữ màu rất lâu. Vì vậy, chữ Lục là chữ được tạo ra với ý nghĩa khắc chữ lên kim loại để lưu giữ, giống như màu được nhuộm vào vải giữ được lâu.",,,,,
正,,,"Chữ 正 có nghĩa là 'thẳng' hay 'chính đáng'. Nghĩa 'thẳng' trong chữ Chính là 'việc đúng đắn'. Chữ Chính là hình ảnh kết hợp giữa chữ 止 (chỉ - chân) và chữ 一 (nhất - một). Tuy nhiên, nhìn vào chữ Chính trong giáp cốt văn, có hình vuông được vẽ phía trước chữ 止. Đây là biểu hiện của thành (城). Do đó, có thể nói chữ Chính vẽ hình ảnh đi bộ về phía thành. Thực ra chữ Chính biểu hiện hình ảnh đi chinh phục thành. Để gây chiến, cần có lý do chính đáng. Do đó, chữ Chính có nghĩa là 'thẳng' từ ý nghĩa việc họ đi chinh phạt kẻ địch là chính đáng.",,,,,
化,,,"Chữ 化 có nghĩa là 'trở thành' hay 'biến đổi'. Chữ 化 là hình ảnh kết hợp giữa chữ 人 (nhân - người) và chữ 匕 (chủy - cái thìa/người chết). Nhìn vào chữ Hóa trong giáp cốt văn, hình ảnh hai người xếp chéo nhau được vẽ. Đây là vẽ người sống và người chết cùng nhau. Chữ Hóa ban đầu biểu hiện sự luân hồi (輪廻), trong đó chữ 人 chỉ 'người sống', chữ 匕 chỉ 'người chết'. Nghĩa 'chết' hay 'sinh ra' trong chữ Hóa cũng là vì lẽ này. Từ ý nghĩa này, chữ Hóa có nghĩa là 'biến đổi' hay 'thay đổi'.",,,,,
骑,,,"Chữ 騎 có nghĩa là 'cưỡi ngựa' hay 'ngồi vắt vẻo'. Chữ 騎 là hình ảnh kết hợp giữa chữ 馬 (mã - ngựa) và chữ 奇 (kỳ - kỳ lạ). Chữ 奇 vẽ hình ảnh người ngồi lên cái cuốc. Chữ Kỵ, kết hợp chữ 馬 vào chữ 奇 vẽ hình ảnh người ngồi trên cái cuốc như vậy, biểu hiện nghĩa người ngồi trên lưng ngựa. Tuy nhiên, nhìn vào chữ Kỵ trong giáp cốt văn, chỉ có hình ảnh đơn thuần người ngồi trên lưng ngựa được vẽ. Mặc dù con ngựa được giản lược thành một nét gạch, nhưng đây là biểu hiện hình ảnh ngồi trên lưng ngựa. Tuy nhiên, trong kim văn, chữ 奇 vừa đóng vai trò phát âm, vừa biểu hiện dáng vẻ ngồi vắt vẻo, tạo thành chữ Kỵ hiện nay.",,,,,
事,,,"Chữ 事 có nghĩa là 'việc' hay 'nghề nghiệp', 'sự nghiệp'. Thời kỳ xuất hiện giáp cốt văn, các chữ 使 (sử - sai khiến), 史 (sử - lịch sử), 事 (sự - việc), 吏 (lại - quan lại) đều là cùng một chữ. Chữ 事 trong số đó có nghĩa là 'sử quan', một quan lại chính phủ. Sử quan chủ trì các buổi tế lễ thần linh, nên chữ Sự được vẽ hình ảnh cầm dụng cụ ma thuật để tế lễ và bói toán trong tay. Sau này khi các chữ được phân hóa, chữ 事 có nghĩa là 'việc' hay 'nghề nghiệp'. Theo định nghĩa trong [Thuyết Văn Giải Tự] của Hứa Thận (許愼), chữ 史 phân hóa thành 'người ghi chép việc', chữ 吏 phân hóa thành 'người cai trị dân', chữ 事 phân hóa thành 'chức vụ'. Để biết thêm chi tiết, xin tham khảo giải thích chữ 使 (sử - sai khiến).",,,,,
育,,,"Chữ 育 là chữ có nghĩa là 'nuôi dưỡng' hay 'sinh ra'. Chữ 育 là hình ảnh kết hợp giữa chữ 子 (tử - con) và chữ ⺼ (nhục nguyệt - thịt). Tuy nhiên, nhìn vào chữ 育 trong giáp cốt văn, chữ 女 (nữ - phụ nữ) và chữ 子 (tử - con) được vẽ cùng nhau. Ở đây, chữ 子 được vẽ ngược và xung quanh có nước bắn tung tóe. Điều này biểu hiện người mẹ và đứa bé vừa mới sinh. Chữ 育 ban đầu được vẽ với hình ảnh vừa sinh em bé như vậy, nhưng khi chuyển sang tiểu triện, người mẹ biến mất và nó thay đổi thành hình thức kết hợp giữa chữ 子 bị lật ngược và chữ 肉 (⺼).",,,,,
顺,,,"Chữ 順 là chữ có nghĩa là 'thuận', 'dễ bảo', 'tuân theo'. Chữ 順 là hình ảnh kết hợp giữa chữ 川 (xuyên - sông) và chữ 頁 (hiệt - đầu). 'Dễ bảo' có nghĩa là dễ dàng thích nghi và tuân theo. Nước chảy từ trên xuống dưới là lẽ đương nhiên và quy luật tự nhiên. Do đó, chữ 川 được dùng trong chữ 順 truyền đạt ý nghĩa rằng con người không khó tính và dễ dàng thích nghi, tuân theo như dòng nước chảy.",,,,,
修,,,"Chữ 修 là chữ có nghĩa là 'tu dưỡng' hay 'nghiên cứu'. Chữ 修 là hình ảnh kết hợp giữa chữ 攸 (du - cái cọc) và chữ 彡 (sam - lông). Chữ 攸 vẽ cảnh dùng gậy đánh người. Chữ 修, được thêm chữ 彡 vào chữ 攸 vẽ cảnh đánh người như vậy, ở đây chữ 彡 biểu hiện hình ảnh đổ mồ hôi hoặc máu. Vì vậy, có thể nói chữ 修 vẽ cảnh đánh ai đó đến chảy máu. Chữ 修 ban đầu là chữ được tạo ra với nghĩa là 'cai trị' ai đó. Tuy nhiên, nghĩa 'tu dưỡng' đạo đức hay phẩm hạnh để đạt được mục đích nào đó được phái sinh, nên hiện nay nó có nghĩa là 'tu dưỡng' hay 'nghiên cứu'.",,,,,
团,,,"Chữ 團 là chữ có nghĩa là 'tròn', 'tụ tập', 'tập đoàn'. Chữ 團 là hình ảnh kết hợp giữa chữ 囗 (vi - bao vây) và chữ 專 (chuyên - chuyên tâm/tròn). Chữ 專 vẽ cảnh dùng tay quay con suốt (紡錘) se chỉ, có nghĩa là 'chuyên tâm' hay 'tròn'. Con suốt là dùng để cuộn chỉ thành hình tròn, nên có nghĩa là 'tròn'. Chữ 團, kết hợp chữ 囗 vào chữ 專 có nghĩa 'tròn' như vậy, có nghĩa là 'tụ lại thành hình tròn' bên trong một khung. Do đó, chữ 團 được dùng với nghĩa là 'tập thể' hay 'tập đoàn' từ ý nghĩa con người tụ tập lại.",,,,,
才,,,"Chữ 才 là chữ có nghĩa là 'tài năng', 'năng khiếu', 'căn bản'. Mặc dù chữ 手 được chỉ định làm bộ thủ của chữ 才, nhưng nó không liên quan gì đến tay. Bởi vì, nhìn vào chữ 才 trong giáp cốt văn, hình ảnh mầm cây nhú lên xuyên qua mặt đất được vẽ. Chữ 才 được vẽ với hình ảnh mầm cây mọc lên như vậy, biểu hiện nghĩa 'có tài năng'. Người ta thường nói 'có triển vọng' khi thấy những đứa trẻ có năng lực xuất sắc trong một lĩnh vực nào đó. Do đó, có thể nói chữ 才 là chữ được tạo ra bằng cách ví mầm cây vươn lên mạnh mẽ với tài năng hay năng khiếu của con người. Lưu ý, chữ 才 trong giáp cốt văn và kim văn đôi khi cũng được dùng với nghĩa là 'có', nhưng sau này chữ 在 (tại - ở) được thêm chữ 土 (thổ - đất) vào để tách nghĩa.",,,,,
曲,,,"Chữ 曲 là chữ có nghĩa là 'cong' hay 'không ngay thẳng'. Mặc dù chữ 曰 (viết - nói) được chỉ định làm bộ thủ của chữ 曲, nhưng nó không liên quan gì đến 'lời nói'. Nhìn vào chữ 曲 trong giáp cốt văn, hình chữ L có vạch đo được vẽ. Đây là vẽ cái 'thước' dùng để đo chiều dài. Tuy nhiên, chữ 曲 được dùng với nghĩa là 'cong' hay 'không ngay thẳng' gợi liên tưởng từ hình dạng cong.",,,,,
针,,,"Chữ 針 là chữ có nghĩa là 'kim' hay 'châm'. Chữ 針 là hình ảnh kết hợp giữa chữ 金 (kim - kim loại) và chữ 十 (thập - mười). Tuy nhiên, trong kim văn và tiểu triện, chữ 鍼 (châm - kim) có chữ 咸 (hàm - tất cả) được dùng với nghĩa là 'kim' hay 'châm'. Từ khải thư trở đi, nó thay đổi thành chữ 針 có chữ 十, ở đây chữ 十 biểu hiện hình ảnh sợi chỉ được xỏ qua lỗ kim. Ban đầu, con người dùng xương động vật làm kim, nhưng khi văn hóa đồ đồng phát triển, chất liệu kim được thay thế bằng sắt, nên chữ 針 có thể được xem là chữ được tạo ra với ý nghĩa đó.",,,,,
代,,,"Chữ 代 là chữ có nghĩa là 'thay thế' hay 'đổi chỗ'. Chữ 代 là hình ảnh kết hợp giữa chữ 人 (nhân - người) và chữ 弋 (ích - cái cọc). Chữ 弋 vẽ cái cọc dùng để buộc dây bắt thú, có nghĩa là 'cọc'. Chữ 代, kết hợp chữ 人 vào chữ 弋 vẽ cái cọc dùng để buộc dây như vậy, được tạo ra với nghĩa là con người được kết nối như sợi dây. Ở đây, con người được kết nối như sợi dây có nghĩa là các thế hệ (世代) tiếp tục kế thừa.",,,,,
表,,,"Chữ 表 là chữ có nghĩa là 'bề ngoài' hay 'bên ngoài'. Chữ 表 là hình ảnh kết hợp giữa chữ 衣 (y - áo) và chữ 毛 (mao - lông). Hiện nay khó tìm thấy chữ 毛 trong chữ 表, nhưng trong tiểu triện, chữ 毛 được vẽ ở giữa chữ 衣. Đây là biểu hiện của áo khoác làm bằng lông. Do đó, nghĩa gốc của chữ 表 là 'áo khoác ngoài'. Tuy nhiên, nghĩa chiếc áo mặc ở ngoài cùng được mở rộng, nên sau này nó được dùng với nhiều nghĩa khác nhau gợi liên tưởng từ bề mặt như 'bên ngoài' hay 'bề mặt', 'ngoại hình', 'biểu hiện'.",,,,,
拿,,,Sự kết hợp của bộ thủ (手(=扌) ☞ tay) và chữ Hợp (合).,,,,,
参,,,"Chữ 參 là chữ có nghĩa là 'ba', 'tên sao', 'can thiệp'. Chữ 參 là hình ảnh kết hợp giữa chữ 厽 (lũ - xây tường) và chữ 人 (nhân - người), chữ 彡 (sam - lông). Chữ 厽 chỉ dùng để biểu thị 3 ngôi sao và không liên quan gì đến 'xây tường'. Nhìn vào chữ 參 trong giáp cốt văn, ba chấm được vẽ phía trên đầu người. Các chấm chỉ chòm sao 'Orion' trên bầu trời đêm. Do đó, nghĩa gốc của chữ 參 là 'Orion'. Tuy nhiên, hiện nay nó được giả tá (mượn nghĩa) cho nghĩa là 'tham gia' hay 'can thiệp'. Lưu ý, trong tiểu triện, chữ 曑 (tam - tên sao) được dùng. Ngoài ra, chữ 參 cũng được dùng làm chữ khác của số Ba (三).",,,,,
